lncRNA_ID	Brain	ES	Fibroblasts	Foreskin	HEK293	HeLa	Myeloma	PC3	RPE-1	U2OS	Spec	RAI	RAI*(1-Spec)	RAI*Spec	TS	lncRNA_Class
ENST00000602810.1_1_ZSCAN16-AS1-002	A1	A3	A3	A3	A2	A1	A3	A3	A1	A3	0	1	1	0	5	trans-lncRNA
ENST00000476274.6_1_RP11-203J24.9-003	A3	A3	A3	A3	A3	A3	A3	A3	A3	A3	0	1	1	0	10	trans-lncRNA
ENST00000426066.1_1_BMS1P20-001	A2	A3	A3	A3	A2	A2	A3	A2	A2	A3	0	1	1	0	7.5	trans-lncRNA
ENST00000634676.1_1_LLNLR-245B6.1-001	A3	A3	A3	A2	A3	A2	A3	A3	A1	A3	0	1	1	0	7.5	trans-lncRNA
ENST00000602920.5_1_JPX-007	A3	A1	A3	A2	A3	A2	A3	A3	A3	A3	0	1	1	0	7.5	trans-lncRNA
ENST00000520348.5_1_SNHG6-005	A2	A2	A2	A2	A2	A2	A3	A2	A3	A2	0	1	1	0	6	trans-lncRNA
ENST00000414209.5_1_JPX-001	A3	A1	A2	A2	A3	A2	A3	A1	A3	A3	0	1	1	0	5.5	trans-lncRNA
ENST00000590513.2_1_RP11-400F19.6-001	A2	A3	A3	A2	A3	A3	A3	A2	A3	A3	0	1	1	0	8.5	trans-lncRNA
ENST00000609803.2_1_RP11-352M15.2-001	A2	A2	A3	A2	A3	A2	A3	A1	A3	A3	0	1	1	0	6.5	trans-lncRNA
ENST00000413987.1_1_SNHG3-004	A0	A2	A1	A2	A3	A2	A3	A3	A3	A3	0	1	1	0	5	trans-lncRNA
ENST00000579700.1_1_DTX2P1-UPK3BP1-PMS2P11-002	A2	A3	A2	A1	A2	A2	A3	A3	A3	A3	0	1	1	0	6.5	trans-lncRNA
ENST00000445430.5_1_LINC00969-038	A3	A2	A2	A2	A2	A2	A3	A3	A2	A3	0	1	1	0	7	trans-lncRNA
ENST00000493536.5_1_SNHG16-002	A1	A3	A3	A3	A3	A3	A3	A3	A2	A3	0	1	1	0	8	trans-lncRNA
ENST00000437681.1_1_SNHG3-002	A0	A2	A1	A2	A3	A2	A3	A3	A3	A3	0	1	1	0	5	trans-lncRNA
ENST00000602520.5_1_SNHG8-002	A3	A2	A3	A3	A3	A3	A2	A2	A3	A2	0	1	1	0	8	trans-lncRNA
ENST00000602414.5_1_SNHG8-001	A3	A3	A3	A3	A3	A3	A3	A3	A3	A3	0	1	1	0	10	trans-lncRNA
ENST00000602483.5_1_SNHG8-003	A3	A2	A3	A3	A3	A3	A3	A3	A3	A3	0	1	1	0	9.5	trans-lncRNA
ENST00000521399.5_1_SNHG6-006	A1	A3	A3	A3	A2	A2	A3	A2	A2	A3	0	1	1	0	6.5	trans-lncRNA
ENST00000398039.2_1_RP11-78J21.7-001	A3	A2	A2	A1	A3	A2	A2	A2	A2	A3	0	1	1	0	5.5	trans-lncRNA
ENST00000521127.1_1_SNHG6-007	A2	A3	A3	A2	A2	A2	A3	A2	A3	A2	0	1	1	0	7	trans-lncRNA
ENST00000520944.5_1_SNHG6-003	A3	A2	A3	A3	A2	A3	A3	A2	A3	A3	0	1	1	0	8.5	trans-lncRNA
ENST00000453618.1_SEC22B-001	A3	A3	A3	A3	A2	A3	A3	A3	A3	A3	0	1	1	0	9.5	trans-lncRNA
ENST00000602294.5_1_JPX-009	A3	A0	A3	A3	A3	A1	A3	A2	A2	A2	0	1	1	0	5	trans-lncRNA
ENST00000550231.1_1_RP11-478C19.2-001	A3	A3	A2	A2	A2	A3	A2	A3	A2	A2	0	1	1	0	7	trans-lncRNA
ENST00000429210.1_RP11-312O7.2-001	A3	A3	A3	A3	A2	A1	A3	A3	A1	A3	0	1	1	0	6.5	trans-lncRNA
ENST00000524003.1_1_OTUD6B-AS1-001	A1	A2	A1	A3	A3	A3	A1	A3	A3	A3	0	1	1	0	5	trans-lncRNA
ENST00000416970.5_1_SNHG7-003	A3	A3	A3	A3	A3	A3	A3	A1	A3	A3	0	1	1	0	8.5	trans-lncRNA
ENST00000636308.1_1_DTX2P1-UPK3BP1-PMS2P11-003	A2	A3	A3	A3	A1	A3	A3	A3	A3	A3	0	1	1	0	8	trans-lncRNA
ENST00000625445.1_1_EBLN3-001	A3	A3	A3	A2	A3	A3	A3	A3	A1	A3	0	1	1	0	8	trans-lncRNA
ENST00000590435.5_1_SNHG16-003	A1	A3	A3	A3	A3	A3	A3	A3	A3	A3	0	1	1	0	8.5	trans-lncRNA
ENST00000500741.2_1_NRAV-002	A2	A2	A2	A1	A3	A2	A3	A2	A3	A2	0	1	1	0	5.5	trans-lncRNA
ENST00000428008.5_1_ZFAS1-006	A3	A1	A3	A3	A3	A3	A3	A3	A3	A2	0	1	1	0	8	trans-lncRNA
ENST00000442116.1_1_AP006222.2-003	A3	A3	A3	A3	A2	A1	A2	A3	A2	A3	0	1	1	0	7	trans-lncRNA
ENST00000598846.1_1_RP1-283E3.8-001	A2	A3	A2	A2	A2	A2	A3	A2	A2	A2	0	1	1	0	6	trans-lncRNA
ENST00000578492.5_1_RP13-104F24.2-001	A3	A3	A3	A2	A2	A3	A2	A2	A2	A3	0	1	1	0	7.5	trans-lncRNA
ENST00000581621.1_1_RP11-186B7.4-001	A3	A3	A3	A3	A3	A3	A3	A3	A3	A3	0	1	1	0	10	trans-lncRNA
ENST00000326677.9_1_ZFAS1-002	A3	A2	A3	A3	A3	A3	A3	A3	A3	A2	0	1	1	0	9	trans-lncRNA
ENST00000425653.1_1_DANCR-002	A2	A3	A2	A3	A3	A3	A3	A3	A3	A3	0	1	1	0	9	trans-lncRNA
ENST00000442823.2_1_EPB41L4A-AS1-003	A2	A1	A1	A0	A2	A2	A3	A1	A1	A1	0	1	1	0	-1	ribo-lncRNA
ENST00000580790.1_1_BMS1P4-001	A1	A2	A2	A1	A2	A2	A3	A2	A1	A2	0	1	1	0	2.5	ribo-lncRNA
ENST00000425081.2_1_PITPNA-AS1-001	A1	A3	A3	A2	A3	A1	A2	A3	A1	A3	0	1	1	0	4.5	ribo-lncRNA
ENST00000590628.1_1_CTC-459F4.3-001	A2	A0	A1	A1	A3	A1	A1	A1	A0	A3	0	1	1	0	-2	ribo-lncRNA
ENST00000418833.2_1_RP4-758J18.2-003	A1	A1	A2	A1	A1	A2	A2	A2	A2	A1	0	1	1	0	0	ribo-lncRNA
ENST00000573187.1_1_AC113189.5-004	A0	A0	A0	A0	A0	A0	A0	A0	A0	A0	0	1	1	0	-10	ribo-lncRNA
ENST00000342584.3_1_PP7080-002	A3	A1	A2	A2	A3	A3	A1	A1	A3	A1	0	1	1	0	3	ribo-lncRNA
ENST00000423222.5_1_LINC00467-001	A0	A3	A0	A0	A2	A0	A3	A1	A1	A1	0	1	1	0	-3	ribo-lncRNA
ENST00000592738.2_SPPL2B-005	A2	A2	A2	A1	A0	A1	A2	A0	A1	A0	0	1	1	0	-2.5	ribo-lncRNA
ENST00000506606.1_1_UBA6-AS1-001	A3	A2	A2	A3	A2	A2	A0	A0	A1	A3	0	1	1	0	2.5	ribo-lncRNA
ENST00000612598.1_1_RP11-12G12.7-001	A1	A1	A2	A2	A3	A2	A1	A2	A2	A1	0	1	1	0	1.5	ribo-lncRNA
ENST00000554360.5_1_PSMA3-AS1-002	A2	A2	A3	A3	A2	A3	A1	A3	A1	A1	0	1	1	0	4	ribo-lncRNA
ENST00000313807.4_1_EIF3J-AS1-001	A2	A3	A1	A0	A1	A2	A0	A2	A2	A3	0	1	1	0	1	ribo-lncRNA
ENST00000607315.1_1_RP11-51J9.5-001	A0	A0	A0	A0	A1	A1	A0	A0	A1	A0	0	1	1	0	-8.5	ribo-lncRNA
ENST00000443946.1_1_AC016747.3-002	A0	A2	A3	A1	A2	A0	A1	A1	A2	A1	0	1	1	0	-1.5	ribo-lncRNA
ENST00000420918.3_1_AC016747.3-001	A0	A2	A3	A1	A2	A1	A3	A2	A1	A2	0	1	1	0	1.5	ribo-lncRNA
ENST00000420850.1_1_ENTPD3-AS1-003	A2	A1	A0	A0	A0	A1	A0	A0	A0	A0	0	1	1	0	-7.5	ribo-lncRNA
ENST00000518073.1_1_MINCR-001	A0	A1	A0	A0	A0	A0	A0	A0	A0	A1	0	1	1	0	-9	ribo-lncRNA
ENST00000514110.5_1_SNHG4-007	A2	A3	A0	A0	A1	A3	A3	A1	A2	A0	0	1	1	0	0	ribo-lncRNA
ENST00000611079.1_1_RP1-267D11.6-001	A2	A0	A1	A0	A1	A0	A0	A0	A0	A1	0	1	1	0	-7	ribo-lncRNA
ENST00000417691.1_1_AC016747.3-004	A0	A2	A2	A0	A1	A0	A1	A2	A1	A3	0	1	1	0	-2	ribo-lncRNA
ENST00000431308.5_1_AC005562.1-004	A1	A2	A1	A0	A1	A0	A0	A2	A0	A1	0	1	1	0	-5	ribo-lncRNA
ENST00000585816.1_1_CTC-260E6.6-001	A0	A1	A0	A1	A0	A0	A0	A1	A0	A1	0	1	1	0	-8	ribo-lncRNA
ENST00000571449.1_1_ZNF213-AS1-004	A0	A0	A0	A0	A1	A0	A0	A0	A0	A1	0	1	1	0	-9	ribo-lncRNA
ENST00000413077.1_1_AC012146.7-001	A2	A3	A0	A2	A1	A2	A3	A2	A0	A2	0	1	1	0	2	ribo-lncRNA
ENST00000527564.1_1_FLJ20021-001	A3	A2	A1	A0	A2	A2	A3	A0	A0	A3	0	1	1	0	1	ribo-lncRNA
ENST00000590479.5_1_MAPKAPK5-AS1-005	A2	A1	A0	A1	A1	A3	A0	A1	A2	A1	0	1	1	0	-2.5	ribo-lncRNA
ENST00000418945.1_1_RP11-98I9.4-001	A2	A3	A1	A0	A1	A2	A0	A0	A1	A1	0	1	1	0	-3	ribo-lncRNA
ENST00000366109.2_1_RP11-498P14.5-001	A2	A2	A1	A0	A1	A0	A0	A1	A2	A0	0	1	1	0	-4	ribo-lncRNA
ENST00000591166.1_1_ASB16-AS1-003	A0	A1	A1	A0	A1	A0	A1	A2	A0	A1	0	1	1	0	-6	ribo-lncRNA
ENST00000501652.5_1_LINC01184-003	A2	A0	A2	A2	A1	A0	A1	A2	A1	A1	0	1	1	0	-2	ribo-lncRNA
ENST00000457084.1_1_RP11-206L10.9-019	A1	A2	A0	A1	A3	A0	A0	A0	A0	A1	0	1	1	0	-5	ribo-lncRNA
ENST00000451607.5_1_GAS5-015	A2	A2	A2	A2	A1	A2	A3	A1	A2	A2	0	1	1	0	3.5	ribo-lncRNA
ENST00000441504.1_1_DANCR-003	A0	A0	A0	A0	A0	A0	A0	A0	A0	A0	0	1	1	0	-10	ribo-lncRNA
ENST00000480904.2_1_THUMPD3-AS1-018	A0	A1	A2	A1	A2	A1	A1	A1	A3	A3	0	1	1	0	-0.5	ribo-lncRNA
ENST00000427796.5_1_TCEB3-AS1-001	A2	A0	A1	A1	A1	A1	A2	A1	A1	A1	0	1	1	0	-3.5	ribo-lncRNA
ENST00000446751.5_1_NUTM2A-AS1-012	A0	A3	A1	A2	A2	A2	A3	A1	A3	A2	0	1	1	0	3	ribo-lncRNA
