id	delRNA*_in_Cyt	delRNA*_in_RG	delRNA*_difference
Tmem170b	-0.475099336	1.917824499	2.392923835
Plcxd2	-0.128373237	2.236421796	2.364795033
Rc3h2	-0.622486868	1.571171813	2.193658681
Zfp597	0.041724101	2.221171499	2.179447398
Xiap	-0.758555359	1.371880455	2.130435814
1700030F04Rik	-1.122648843	1.005545119	2.128193962
2900097C17Rik	-1.134078248	0.976775928	2.110854176
Tmem64	-1.025123787	1.080331811	2.105455598
Impad1	-1.021984114	1.03656077	2.058544884
Csgalnact2	-0.613107431	1.417154108	2.030261539
Mfsd4	-1.058831994	0.970105543	2.028937537
Zfp871	-0.650444339	1.375183269	2.025627608
Ptar1	-0.368796122	1.653413962	2.022210084
Peg3	-1.615196806	0.386566054	2.00176286
Klhl11	-0.964309941	0.992847737	1.957157678
Fam126b	0.197499428	2.15216602	1.954666592
Mex3c	-0.913295393	1.039493702	1.952789095
Lnpep	-1.227681957	0.715023504	1.942705461
D15Ertd621e	-0.99753767	0.932773329	1.930310999
Dcp2	-0.649628918	1.279236328	1.928865246
Usp31	-0.767640105	1.158234983	1.925875088
Spred1	-0.823053997	1.08242423	1.905478227
Plagl1	-1.388120804	0.511507661	1.899628465
Edem3	-0.89304416	1.00217939	1.89522355
Crebzf	-0.23648707	1.654066457	1.890553527
Crebl2	-0.62075332	1.260268749	1.881022069
Otud4	-0.863218696	1.008917214	1.87213591
Uhmk1	-0.785851209	1.075852063	1.861703272
Skil	0.019228939	1.879554535	1.860325596
Socs4	-0.398589992	1.459667348	1.85825734
Zbtb41	-0.515763705	1.338771546	1.854535251
Zc3h12c	-0.544080913	1.30923298	1.853313893
Zcchc24	-0.973551618	0.871066299	1.844617917
Zbtb44	-0.812660931	1.028270903	1.840931834
Fnip1	-0.634832706	1.196122579	1.830955285
Syde2	-0.146272884	1.683085317	1.829358201
Rassf8	-0.652095998	1.176214499	1.828310497
Zbtb26	0.076699599	1.903996777	1.827297178
Fbxl3	-0.715742417	1.111165502	1.826907919
Ogfrl1	-0.585985803	1.227442441	1.813428244
Larp4b	-0.952611837	0.860638109	1.813249946
Tceanc	-0.347922642	1.460206539	1.808129181
Slc4a7	-0.563972292	1.242840907	1.806813199
Nr1d2	-0.56242718	1.242272883	1.804700063
Fam63b	-0.8658064	0.936215435	1.802021835
Brinp3	-0.64929036	1.15068929	1.79997965
Hipk1	-1.164026705	0.635761398	1.799788103
Kbtbd2	-0.713123729	1.086485254	1.799608983
Ccdc50	-0.658184802	1.137900634	1.796085436
Zbtb38	-0.503301537	1.291098045	1.794399582
Smim13	-0.63317117	1.161207352	1.794378522
Cmtm4	-0.885477066	0.899683151	1.785160217
Mib1	-1.036442976	0.744682427	1.781125403
1700066M21Rik	-0.480415197	1.298149551	1.778564748
Napb	0.767495267	2.53483962	1.767344353
Nr2c2	-0.772791125	0.991503867	1.764294992
Tmf1	-0.671446883	1.08931924	1.760766123
Zfyve16	-0.914798489	0.844657798	1.759456287
Snx13	-0.412386485	1.345401415	1.7577879
Plekha8	-0.356456345	1.397735283	1.754191628
Dmxl1	-0.719688176	1.03415027	1.753838446
Sacs	-0.897274521	0.853345056	1.750619577
Arl5b	-0.127079341	1.622203813	1.749283154
Zfp365	-0.447373279	1.301320863	1.748694142
D830031N03Rik	-1.27068198	0.476673764	1.747355744
Dsel	-0.82739545	0.919723951	1.747119401
Trp53inp1	-0.453895622	1.293140307	1.747035929
Zfp26	-0.126111049	1.620074099	1.746185148
Avl9	-0.309606304	1.436161403	1.745767707
Zfx	-0.330362736	1.410255844	1.74061858
B230219D22Rik	-0.65273374	1.087260684	1.739994424
