File accession	File format	File type	File format type	Output type	File assembly	Experiment accession	Assay	Donor(s)	Biosample term id	Biosample term name	Biosample type	Biosample organism	Biosample treatments	Biosample treatments amount	Biosample treatments duration	Biosample genetic modifications methods	Biosample genetic modifications categories	Biosample genetic modifications targets	Biosample genetic modifications gene targets	Biosample genetic modifications site coordinates	Biosample genetic modifications zygosity	Experiment target	Library made from	Library depleted in	Library extraction method	Library lysis method	Library crosslinking method	Library strand specific	Experiment date released	Project	RBNS protein concentration	Library fragmentation method	Library size range	Biological replicate(s)	Technical replicate(s)	Read length	Mapped read length	Run type	Paired end	Paired with	Index of	Derived from	Size	Lab	md5sum	dbxrefs	File download URL	Genome annotation	Platform	Controlled by	File Status	s3_uri	File analysis title	File analysis status	Audit WARNING	Audit NOT_COMPLIANT	Audit ERROR
ENCFF285GOS	tsv	tsv		gene quantifications	GRCh38	ENCSR000CTO	polyA plus RNA-seq	/human-donors/ENCDO000AAE/	EFO:0001203	MCF-7	cell line	Homo sapiens											polyadenylated mRNA	rRNA				reverse	2012-06-21	ENCODE		see document	>200	4	4_1							/files/ENCFF940AZB/, /files/ENCFF440BPT/	9888855	ENCODE Processing Pipeline	f57183850f525f566230d85571e186f0		https://www.encodeproject.org/files/ENCFF285GOS/@@download/ENCFF285GOS.tsv	V24			released	s3://encode-public/2016/07/07/230a9eb9-42f1-418b-a9b5-3800631d0b2a/ENCFF285GOS.tsv	ENCODE3 GRCh38 V24	archived			
ENCFF063BLU	tsv	tsv		gene quantifications	GRCh38	ENCSR000CTO	polyA plus RNA-seq	/human-donors/ENCDO000AAE/	EFO:0001203	MCF-7	cell line	Homo sapiens											polyadenylated mRNA	rRNA				reverse	2012-06-21	ENCODE		see document	>200	3	3_1							/files/ENCFF940AZB/, /files/ENCFF781NAF/	9892220	ENCODE Processing Pipeline	bcafec449ff58d047746382fe69642c4		https://www.encodeproject.org/files/ENCFF063BLU/@@download/ENCFF063BLU.tsv	V24			released	s3://encode-public/2016/07/07/45664f61-6b56-4190-9663-1bf37becbed6/ENCFF063BLU.tsv	ENCODE3 GRCh38 V24	archived			
ENCFF579SSX	tsv	tsv		gene quantifications	GRCh38	ENCSR000CTO	polyA plus RNA-seq	/human-donors/ENCDO000AAE/	EFO:0001203	MCF-7	cell line	Homo sapiens											polyadenylated mRNA	rRNA				reverse	2012-06-21	ENCODE		see document	>200	3	3_1							/files/ENCFF668JPI/, /files/ENCFF285DRD/	10894605	ENCODE Processing Pipeline	ae5a76f78ef2d382ccf31cc6bbcf7dcd		https://www.encodeproject.org/files/ENCFF579SSX/@@download/ENCFF579SSX.tsv	V29			released	s3://encode-public/2021/04/17/4226f2c4-2591-4da4-847f-dfca4d30b6b9/ENCFF579SSX.tsv	ENCODE4 v1.2.3 GRCh38 V29	released			
ENCFF252JIL	tsv	tsv		gene quantifications	GRCh38	ENCSR000CTO	polyA plus RNA-seq	/human-donors/ENCDO000AAE/	EFO:0001203	MCF-7	cell line	Homo sapiens											polyadenylated mRNA	rRNA				reverse	2012-06-21	ENCODE		see document	>200	4	4_1							/files/ENCFF717FZZ/, /files/ENCFF285DRD/	10888912	ENCODE Processing Pipeline	453c0b70536683474908d23c64db8ef9		https://www.encodeproject.org/files/ENCFF252JIL/@@download/ENCFF252JIL.tsv	V29			released	s3://encode-public/2021/04/17/0cd39798-a202-46a6-ab5b-957a995bf1ec/ENCFF252JIL.tsv	ENCODE4 v1.2.3 GRCh38 V29	released			
ENCFF389TFR	tsv	tsv		gene quantifications	GRCh38	ENCSR000CTT	polyA plus RNA-seq	/human-donors/ENCDO000ABD/	EFO:0003072	SK-N-SH	cell line	Homo sapiens											polyadenylated mRNA	rRNA				reverse	2012-06-21	ENCODE		see document	>200	3	3_1							/files/ENCFF940AZB/, /files/ENCFF154IBY/	9865017	ENCODE Processing Pipeline	b683209d7bea1c0c68a732ae67e5ca41		https://www.encodeproject.org/files/ENCFF389TFR/@@download/ENCFF389TFR.tsv	V24			released	s3://encode-public/2016/07/07/180656c8-ecfc-4812-a69c-f70e4ed933a5/ENCFF389TFR.tsv	ENCODE3 GRCh38 V24	archived			
ENCFF161JEA	tsv	tsv		gene quantifications	GRCh38	ENCSR000CTT	polyA plus RNA-seq	/human-donors/ENCDO000ABD/	EFO:0003072	SK-N-SH	cell line	Homo sapiens											polyadenylated mRNA	rRNA				reverse	2012-06-21	ENCODE		see document	>200	4	4_1							/files/ENCFF940AZB/, /files/ENCFF755PJE/	9836172	ENCODE Processing Pipeline	6bdf9b59dc4e54ffe6efff0c60f3e6b7		https://www.encodeproject.org/files/ENCFF161JEA/@@download/ENCFF161JEA.tsv	V24			released	s3://encode-public/2016/07/07/ddf184a3-e72d-4f32-ad60-724860d6bb7e/ENCFF161JEA.tsv	ENCODE3 GRCh38 V24	archived			
ENCFF378TYT	tsv	tsv		gene quantifications	GRCh38	ENCSR000CTT	polyA plus RNA-seq	/human-donors/ENCDO000ABD/	EFO:0003072	SK-N-SH	cell line	Homo sapiens											polyadenylated mRNA	rRNA				reverse	2012-06-21	ENCODE		see document	>200	3	3_1							/files/ENCFF696RRB/, /files/ENCFF285DRD/	10841213	ENCODE Processing Pipeline	f0fb265b32d8fda670852bdc980d8a5d		https://www.encodeproject.org/files/ENCFF378TYT/@@download/ENCFF378TYT.tsv	V29			released	s3://encode-public/2021/04/17/b3238089-4ede-40ed-b1e7-4b5e147750dc/ENCFF378TYT.tsv	ENCODE4 v1.2.3 GRCh38 V29	released			
ENCFF645FNQ	tsv	tsv		gene quantifications	GRCh38	ENCSR000CTT	polyA plus RNA-seq	/human-donors/ENCDO000ABD/	EFO:0003072	SK-N-SH	cell line	Homo sapiens											polyadenylated mRNA	rRNA				reverse	2012-06-21	ENCODE		see document	>200	4	4_1							/files/ENCFF285DRD/, /files/ENCFF976WEZ/	10808590	ENCODE Processing Pipeline	b9a97cc7d3485d3d6580abed8add215b		https://www.encodeproject.org/files/ENCFF645FNQ/@@download/ENCFF645FNQ.tsv	V29			released	s3://encode-public/2021/04/17/95c76c82-0962-42b1-99cd-95a380c55c13/ENCFF645FNQ.tsv	ENCODE4 v1.2.3 GRCh38 V29	released			
ENCFF547OBF	tsv	tsv		gene quantifications	GRCh38	ENCSR000COV	polyA plus RNA-seq	/human-donors/ENCDO000AAW/	EFO:0003042	H1	cell line	Homo sapiens											polyadenylated mRNA	rRNA				reverse	2011-10-17	ENCODE		see document	>200	2	2_1							/files/ENCFF940AZB/, /files/ENCFF438UMJ/	9860869	ENCODE Processing Pipeline	e673bbe4d5ddcc54bec41fea78b20692		https://www.encodeproject.org/files/ENCFF547OBF/@@download/ENCFF547OBF.tsv	V24			released	s3://encode-public/2016/07/07/eeb6191f-b5a1-4c41-9947-71892f986e74/ENCFF547OBF.tsv	ENCODE3 GRCh38 V24	archived			
ENCFF497FXX	tsv	tsv		gene quantifications	GRCh38	ENCSR000COV	polyA plus RNA-seq	/human-donors/ENCDO000AAW/	EFO:0003042	H1	cell line	Homo sapiens											polyadenylated mRNA	rRNA				reverse	2011-10-17	ENCODE		see document	>200	2	2_1							/files/ENCFF285DRD/, /files/ENCFF826FWS/	10849550	ENCODE Processing Pipeline	02ab947922dcc45001915f94e3812d51		https://www.encodeproject.org/files/ENCFF497FXX/@@download/ENCFF497FXX.tsv	V29			released	s3://encode-public/2021/04/08/4677616b-e206-415f-b1ae-5ac58eb74dcf/ENCFF497FXX.tsv	ENCODE4 v1.2.3 GRCh38 V29	released			
ENCFF009TYJ	tsv	tsv		gene quantifications	GRCh38	ENCSR000COR	polyA plus RNA-seq	/human-donors/ENCDO000AAK/	EFO:0002784	GM12878	cell line	Homo sapiens											polyadenylated mRNA	rRNA				reverse	2011-10-17	ENCODE		see document	>200	2	2_1							/files/ENCFF940AZB/, /files/ENCFF374CQT/	9889612	ENCODE Processing Pipeline	028ef728da909846287264ab52c177d5		https://www.encodeproject.org/files/ENCFF009TYJ/@@download/ENCFF009TYJ.tsv	V24			released	s3://encode-public/2016/07/07/ec10a815-849a-4fc4-8621-ce6b1d7fc9f0/ENCFF009TYJ.tsv	ENCODE3 GRCh38 V24	archived			
ENCFF308DIT	tsv	tsv		gene quantifications	GRCh38	ENCSR000COR	polyA plus RNA-seq	/human-donors/ENCDO000AAK/	EFO:0002784	GM12878	cell line	Homo sapiens											polyadenylated mRNA	rRNA				reverse	2011-10-17	ENCODE		see document	>200	1	1_1							/files/ENCFF940AZB/, /files/ENCFF429HEG/	9855002	ENCODE Processing Pipeline	28ef8501d352b46abea006d2cf08e9c2		https://www.encodeproject.org/files/ENCFF308DIT/@@download/ENCFF308DIT.tsv	V24			released	s3://encode-public/2016/07/07/808e3a21-c5ae-49c7-ad56-1b3a29a38d15/ENCFF308DIT.tsv	ENCODE3 GRCh38 V24	archived			
ENCFF395EXV	tsv	tsv		gene quantifications	GRCh38	ENCSR000COR	polyA plus RNA-seq	/human-donors/ENCDO000AAK/	EFO:0002784	GM12878	cell line	Homo sapiens											polyadenylated mRNA	rRNA				reverse	2011-10-17	ENCODE		see document	>200	1	1_1							/files/ENCFF285DRD/, /files/ENCFF173WLY/	10827744	ENCODE Processing Pipeline	4ce0b8ce8e5e00f78dc5c694897d1c15		https://www.encodeproject.org/files/ENCFF395EXV/@@download/ENCFF395EXV.tsv	V29			released	s3://encode-public/2021/04/08/c33e6061-514b-4a06-80ce-9a6898bfed47/ENCFF395EXV.tsv	ENCODE4 v1.2.3 GRCh38 V29	released			
ENCFF697ITP	tsv	tsv		gene quantifications	GRCh38	ENCSR000COR	polyA plus RNA-seq	/human-donors/ENCDO000AAK/	EFO:0002784	GM12878	cell line	Homo sapiens											polyadenylated mRNA	rRNA				reverse	2011-10-17	ENCODE		see document	>200	2	2_1							/files/ENCFF736GEW/, /files/ENCFF285DRD/	10878446	ENCODE Processing Pipeline	ca508f61a35a2701a18c21e19313afa5		https://www.encodeproject.org/files/ENCFF697ITP/@@download/ENCFF697ITP.tsv	V29			released	s3://encode-public/2021/04/08/b3f5c5fb-6fa2-4e1f-a45f-100db0eeeae5/ENCFF697ITP.tsv	ENCODE4 v1.2.3 GRCh38 V29	released			
ENCFF267GGP	tsv	tsv		gene quantifications	GRCh38	ENCSR000CPC	polyA plus RNA-seq	/human-donors/ENCDO000AAC/	EFO:0001187	HepG2	cell line	Homo sapiens											polyadenylated mRNA	rRNA				reverse	2011-10-17	ENCODE		see document	>200	1	1_1							/files/ENCFF940AZB/, /files/ENCFF153JNH/	9848939	ENCODE Processing Pipeline	242d7cba1081654f2b3cf367e0f4b5cf		https://www.encodeproject.org/files/ENCFF267GGP/@@download/ENCFF267GGP.tsv	V24			released	s3://encode-public/2016/07/07/2d49b3e2-d7d4-4a77-a67f-66c14d1ecc24/ENCFF267GGP.tsv	ENCODE3 GRCh38 V24	archived			
ENCFF141PVN	tsv	tsv		gene quantifications	GRCh38	ENCSR000CPC	polyA plus RNA-seq	/human-donors/ENCDO000AAC/	EFO:0001187	HepG2	cell line	Homo sapiens											polyadenylated mRNA	rRNA				reverse	2011-10-17	ENCODE		see document	>200	2	2_1							/files/ENCFF940AZB/, /files/ENCFF775VDU/	9852399	ENCODE Processing Pipeline	0a729b36ff4018bfe11c572bc1bfae95		https://www.encodeproject.org/files/ENCFF141PVN/@@download/ENCFF141PVN.tsv	V24			released	s3://encode-public/2016/07/07/fc2fda51-d58d-4dc8-98b3-7071da048b0b/ENCFF141PVN.tsv	ENCODE3 GRCh38 V24	archived			
ENCFF729LCL	tsv	tsv		gene quantifications	GRCh38	ENCSR000CPC	polyA plus RNA-seq	/human-donors/ENCDO000AAC/	EFO:0001187	HepG2	cell line	Homo sapiens											polyadenylated mRNA	rRNA				reverse	2011-10-17	ENCODE		see document	>200	2	2_1							/files/ENCFF285DRD/, /files/ENCFF272YJJ/	10839080	ENCODE Processing Pipeline	f6ce9e749c304fa89b25bfd63fefa862		https://www.encodeproject.org/files/ENCFF729LCL/@@download/ENCFF729LCL.tsv	V29			released	s3://encode-public/2021/04/15/3daf14b5-d82f-4edf-8f58-1af04400d281/ENCFF729LCL.tsv	ENCODE4 v1.2.3 GRCh38 V29	released			
ENCFF877KTY	tsv	tsv		gene quantifications	GRCh38	ENCSR000CPC	polyA plus RNA-seq	/human-donors/ENCDO000AAC/	EFO:0001187	HepG2	cell line	Homo sapiens											polyadenylated mRNA	rRNA				reverse	2011-10-17	ENCODE		see document	>200	1	1_1							/files/ENCFF864VJS/, /files/ENCFF285DRD/	10832494	ENCODE Processing Pipeline	ce45de0f833a67e874444ec0206bf005		https://www.encodeproject.org/files/ENCFF877KTY/@@download/ENCFF877KTY.tsv	V29			released	s3://encode-public/2021/04/15/846100fa-36d5-438c-9f33-4d61a5bd3221/ENCFF877KTY.tsv	ENCODE4 v1.2.3 GRCh38 V29	released			
ENCFF705CWH	tsv	tsv		gene quantifications	GRCh38	ENCSR000CTN	polyA plus RNA-seq	/human-donors/ENCDO000AAX/	EFO:0001196	IMR-90	cell line	Homo sapiens											polyadenylated mRNA	rRNA				reverse	2012-06-21	ENCODE		see document	>200	1	1_1							/files/ENCFF940AZB/, /files/ENCFF385LOY/	9744624	ENCODE Processing Pipeline	6c69d22b7c6c0d5454bd4aafac289bf4		https://www.encodeproject.org/files/ENCFF705CWH/@@download/ENCFF705CWH.tsv	V24			released	s3://encode-public/2016/07/07/3144d5ce-7976-4f3a-8ff4-3a3b81b229c8/ENCFF705CWH.tsv	ENCODE3 GRCh38 V24	archived			
ENCFF431VDJ	tsv	tsv		gene quantifications	GRCh38	ENCSR000CTN	polyA plus RNA-seq	/human-donors/ENCDO000AAX/	EFO:0001196	IMR-90	cell line	Homo sapiens											polyadenylated mRNA	rRNA				reverse	2012-06-21	ENCODE		see document	>200	2	2_1							/files/ENCFF940AZB/, /files/ENCFF757FAA/	9806380	ENCODE Processing Pipeline	d9c719877ac2937d24de146fcd1bae50		https://www.encodeproject.org/files/ENCFF431VDJ/@@download/ENCFF431VDJ.tsv	V24			released	s3://encode-public/2016/07/07/b312b8fd-4b4b-43c3-add7-627bc7e42061/ENCFF431VDJ.tsv	ENCODE3 GRCh38 V24	archived			
ENCFF879QMA	tsv	tsv		gene quantifications	GRCh38	ENCSR000CTN	polyA plus RNA-seq	/human-donors/ENCDO000AAX/	EFO:0001196	IMR-90	cell line	Homo sapiens											polyadenylated mRNA	rRNA				reverse	2012-06-21	ENCODE		see document	>200	1	1_1							/files/ENCFF164EWA/, /files/ENCFF285DRD/	10674706	ENCODE Processing Pipeline	28e97ad6a5ac2525b9f5ded2c155e5b8		https://www.encodeproject.org/files/ENCFF879QMA/@@download/ENCFF879QMA.tsv	V29			released	s3://encode-public/2021/04/17/351727f7-bba0-4e9f-ba40-d12c7ca7a807/ENCFF879QMA.tsv	ENCODE4 v1.2.3 GRCh38 V29	released			
ENCFF942MTU	tsv	tsv		gene quantifications	GRCh38	ENCSR000CTN	polyA plus RNA-seq	/human-donors/ENCDO000AAX/	EFO:0001196	IMR-90	cell line	Homo sapiens											polyadenylated mRNA	rRNA				reverse	2012-06-21	ENCODE		see document	>200	2	2_1							/files/ENCFF558RQQ/, /files/ENCFF285DRD/	10761815	ENCODE Processing Pipeline	63d75af6dfee02b5d6115f45a58a104f		https://www.encodeproject.org/files/ENCFF942MTU/@@download/ENCFF942MTU.tsv	V29			released	s3://encode-public/2021/04/17/dea25134-6ad4-4e8e-99fc-9a194ace8377/ENCFF942MTU.tsv	ENCODE4 v1.2.3 GRCh38 V29	released			
ENCFF268PEQ	tsv	tsv		gene quantifications	GRCh38	ENCSR000CPS	polyA plus RNA-seq	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens											polyadenylated mRNA	rRNA				reverse	2011-10-17	ENCODE		see document	>200	1	1_1							/files/ENCFF940AZB/, /files/ENCFF800ADO/	9887151	ENCODE Processing Pipeline	4df65e2b343b6103efefaf5e66fe1174		https://www.encodeproject.org/files/ENCFF268PEQ/@@download/ENCFF268PEQ.tsv	V24			released	s3://encode-public/2016/07/07/3fbcd96c-b239-47e3-90c8-ab91e905fa23/ENCFF268PEQ.tsv	ENCODE3 GRCh38 V24	archived			
ENCFF315ZPM	tsv	tsv		gene quantifications	GRCh38	ENCSR000CPS	polyA plus RNA-seq	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens											polyadenylated mRNA	rRNA				reverse	2011-10-17	ENCODE		see document	>200	2	2_1							/files/ENCFF940AZB/, /files/ENCFF469CHO/	9893673	ENCODE Processing Pipeline	05151ad03d60c2eb7ee9f660d40f722a		https://www.encodeproject.org/files/ENCFF315ZPM/@@download/ENCFF315ZPM.tsv	V24			released	s3://encode-public/2016/07/07/777e132d-a750-4626-bae6-e99f08781b35/ENCFF315ZPM.tsv	ENCODE3 GRCh38 V24	archived			
ENCFF142LZQ	tsv	tsv		gene quantifications	GRCh38	ENCSR000CPS	polyA plus RNA-seq	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens											polyadenylated mRNA	rRNA				reverse	2011-10-17	ENCODE		see document	>200	2	2_1							/files/ENCFF285DRD/, /files/ENCFF689IBB/	10890468	ENCODE Processing Pipeline	5368afdbd0b48164066a967c038ad02f		https://www.encodeproject.org/files/ENCFF142LZQ/@@download/ENCFF142LZQ.tsv	V29			released	s3://encode-public/2021/04/05/d065de95-8d24-42e2-8048-849977e61f5f/ENCFF142LZQ.tsv	ENCODE4 v1.2.3 GRCh38 V29	released			
ENCFF501IXI	tsv	tsv		gene quantifications	GRCh38	ENCSR000CPS	polyA plus RNA-seq	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens											polyadenylated mRNA	rRNA				reverse	2011-10-17	ENCODE		see document	>200	1	1_1							/files/ENCFF230AEG/, /files/ENCFF285DRD/	10880010	ENCODE Processing Pipeline	dc8ff631a804b3d658808e11d35ddb1c		https://www.encodeproject.org/files/ENCFF501IXI/@@download/ENCFF501IXI.tsv	V29			released	s3://encode-public/2021/04/05/45780b32-7872-47b9-bf87-97436aea87f7/ENCFF501IXI.tsv	ENCODE4 v1.2.3 GRCh38 V29	released			
ENCFF901NRJ	tsv	tsv		gene quantifications	GRCh38	ENCSR000COK	polyA plus RNA-seq	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens											polyadenylated mRNA	rRNA				reverse	2011-10-17	ENCODE		see document	>200	1	1_1							/files/ENCFF940AZB/, /files/ENCFF042MCW/	9853752	ENCODE Processing Pipeline	0fd2eadb9db754fe3f90c0fb6094a3ee		https://www.encodeproject.org/files/ENCFF901NRJ/@@download/ENCFF901NRJ.tsv	V24			released	s3://encode-public/2016/07/07/a7816cf7-920c-49bb-8f24-a6597b05bae6/ENCFF901NRJ.tsv	ENCODE3 GRCh38 V24	archived			
