Protocol	Fraction	Density	Treatment	Replica	fraction_volume	ng_raw	final_volume	Vol_correct	Dil_factor	Dil_Correct	Rel_total
dLoRNA	1	1.008776742	DMSO	1	1000	4.067	30	122.01	1	122.01	0.008010106
dLoRNA	2	1.030326777	DMSO	1	500	2.863	30	85.89	1	85.89	0.005638784
dLoRNA	3	1.042081342	DMSO	1	500	2.605	30	78.15	1	78.15	0.005130644
dLoRNA	4	1.055795	DMSO	1	500	6.593	30	197.79	1	197.79	0.012985157
dLoRNA	5	1.065590471	DMSO	1	500	2.167	50	108.35	1	108.35	0.007113311
dLoRNA	6	1.081263224	DMSO	1	526.739228	1.691	50	84.55	1.066836901	90.20106	0.00592181
dLoRNA	7	1.091058694	DMSO	1	569.2032325	4.982	75	373.65	1.267139663	473.4667349	0.031083673
dLoRNA	8	1.104772353	DMSO	1	398.8372533	8.759	57	499.263	1	499.263	0.032777229
dLoRNA	9	1.11260873	DMSO	1	429.8222981	4.504	100	450.4	1.146736201	516.4899848	0.033908202
dLoRNA	10	1.128281483	DMSO	1	411.5358711	2.494	100	249.4	1.230169637	306.8043075	0.02014208
dLoRNA	11	1.143954236	DMSO	1	412.0690639	2.678	100	267.8	1.364155133	365.3207445	0.023983756
dLoRNA	12	1.159626988	DMSO	1	367.3465939	2.431	100	243.1	1.334124344	324.325628	0.021292376
dLoRNA	13	1.171381553	DMSO	1	410.2144337	3.020	200	604	1.588658031	959.5494504	0.0629956
dLoRNA	14	1.204686153	DMSO	1	445.5157817	2.820	200	564	2.029538734	1144.659846	0.075148325
dLoRNA	15	1.222318	DMSO	1	353.3790656	4.135	200	827	1.737539036	1436.944783	0.09433719
dLoRNA	16	1.24582713	DMSO	1	390.2244727	3.275	200	655	2.106765197	1379.931204	0.090594179
dLoRNA	17	1.277172635	DMSO	1	455.5238651	1.925	200	385	2.752013221	1059.52509	0.069559124
dLoRNA	18	1.308518141	DMSO	1	479.6111192	5.668	150	850.2	3.20571841	2725.501792	0.178932541
dLoRNA	19	1.311708252	DMSO	1	443.161512	3.166	150	474.9	2.991070394	1420.45933	0.0932549
dLoRNA	20	1.352394013	DMSO	1	481.8664	2.613	150	391.95	3.654201526	1432.264288	0.09402991
dLoRNA	21	1.38863647	DMSO	1	231.1000853	1.750	150	262.5	1.924229152	505.1101523	0.033161102
dLoRNA	1	1.01465402	TG	1	1000	2.201	30	66.03	1	66.03	0.008856408
dLoRNA	2	1.02836768	TG	1	500	2.093	30	62.79	1	62.79	0.008421836
dLoRNA	3	1.04208134	TG	1	500	1.781	30	53.43	1	53.43	0.007166407
dLoRNA	4	1.055795	TG	1	500	2.626	30	78.78	1	78.78	0.010566528
dLoRNA	5	1.06559047	TG	1	500	2.456	50	73.68	1	73.68	0.00988248
dLoRNA	6	1.07538594	TG	1	500	2.541	50	76.23	1	76.23	0.010224504
dLoRNA	7	1.0890996	TG	1	457.4558693	1.618	75	121.35	1	121.35	0.016276315
dLoRNA	8	1.09889507	TG	1	418.9698793	3.178	57	238.35	1	238.35	0.031969178
dLoRNA	9	1.10477235	TG	1	398.8372533	2.928	100	219.6	1	219.6	0.029454296
dLoRNA	10	1.11848601	TG	1	449.6269513	2.05	100	205	1.253745569	257.0178417	0.03447304
dLoRNA	11	1.13219967	TG	1	434.7819945	1.486	100	148.6	1.334579571	198.3185243	0.026599875
dLoRNA	12	1.14591333	TG	1	368.4484993	1.448	100	144.8	1.234546329	178.7623085	0.023976858
dLoRNA	13	1.16354518	TG	1	439.3887407	1.499	200	299.8	1.631058297	488.9912775	0.065586949
dLoRNA	14	1.17529974	TG	1	316.9678513	1.725	200	345	1.252996575	432.2838184	0.057980945
dLoRNA	15	1.19489068	TG	1	345.6381088	1.417	200	283.4	1.505142638	426.5574235	0.057212881
dLoRNA	16	1.23015438	TG	1	406.9446217	1.684	200	336.8	2.06628959	695.926334	0.093342534
dLoRNA	17	1.24582713	TG	1	485.2244727	1.577	200	315.4	2.619656386	826.239624	0.110821068
dLoRNA	18	1.2889272	TG	1	539.1751226	1.183	150	236.6	3.387307727	801.4370082	0.107494367
dLoRNA	19	1.32360865	TG	1	502.9930971	1.351	150	202.65	3.517604048	712.8424604	0.095611443
dLoRNA	20	1.36564376	TG	1	477.3066794	1.418	150	212.7	3.749266586	797.4690029	0.10696215
dLoRNA	21	1.41304522	TG	1	493.2918761	0.9945	150	149.175	4.354168129	649.5330306	0.087119937
dLoRNA	1	1.010735836	DMSO	2	1000	2.629	30	78.87	1	78.87	0.007929973
dLoRNA	2	1.034244965	DMSO	2	500	2.288	30	68.64	1	68.64	0.006901399
dLoRNA	3	1.044040436	DMSO	2	500	1.865	30	55.95	1	55.95	0.005625485
dLoRNA	4	1.042081342	DMSO	2	500	2.383	30	71.49	1	71.49	0.007187952
dLoRNA	5	1.069508659	DMSO	2	500	2.926	30	87.78	1	87.78	0.008825827
dLoRNA	6	1.07930413	DMSO	2	520.7275841	2.087	30	62.61	1.0337484	64.72298732	0.006507563
dLoRNA	7	1.091058694	DMSO	2	458.2032325	3.613	30	108.39	1.020035475	110.5616451	0.011116405
dLoRNA	8	1.102813259	DMSO	2	551.3296453	3.334	100	333.4	1.360200646	453.4908953	0.045596176
dLoRNA	9	1.11260873	DMSO	2	374.8222981	2.754	150	413.1	1	413.1	0.041535079
dLoRNA	10	1.126322389	DMSO	2	377.0916266	2.375	100	237.5	1.112064106	264.1152252	0.026555427
dLoRNA	11	1.138076953	DMSO	2	381.4777295	2.376	100	237.6	1.216921311	289.1405035	0.02907159
dLoRNA	12	1.151790612	DMSO	2	350.0894785	2.046	100	204.6	1.215210914	248.632153	0.024998684
dLoRNA	13	1.167463365	DMSO	2	478.6832548	2.146	150	321.9	1.815372217	584.3683166	0.058755228
dLoRNA	14	1.1890134	DMSO	2	375.1723462	2.654	200	530.8	1.588553242	843.2040607	0.08477983
dLoRNA	15	1.218399812	DMSO	2	378.7565723	2.062	200	412.4	1.831896167	755.4739793	0.075959022
dLoRNA	16	1.24582713	DMSO	2	392.2244727	2.840	150	426	2.117562906	902.081798	0.090699683
dLoRNA	17	1.273254447	DMSO	2	417.7541718	2.206	200	441.2	2.490275904	1098.709729	0.11046961
dLoRNA	18	1.296763577	DMSO	2	470.206447	1.879	100	187.9	3.029554867	569.2533596	0.057235496
dLoRNA	19	1.340069744	DMSO	2	496.4109394	1.734	200	346.8	3.63908453	1262.034515	0.126891077
dLoRNA	20	1.38146697	DMSO	2	502.2581042	1.818	150	272.7	4.10817841	1120.300252	0.112640426
dLoRNA	21	1.427622443	DMSO	2	209.5820093	2.105	150	315.75	1.912558554	603.8903635	0.060718069
dLoRNA	1	1.010735836	TG	2	1000	2.154	30	64.62	1	64.62	0.007498378
dLoRNA	2	1.032285871	TG	2	500	1.828	30	54.84	1	54.84	0.006363526
dLoRNA	3	1.042081342	TG	2	500	2.141	30	64.23	1	64.23	0.007453123
dLoRNA	4	1.051876812	TG	2	500	2.079	30	62.37	1	62.37	0.007237292
dLoRNA	5	1.065590471	TG	2	500	2.822	30	84.66	1	84.66	0.00982378
dLoRNA	6	1.075385942	TG	2	500	2.5	30	75	1	75	0.008702852
dLoRNA	7	1.085181412	TG	2	474.9055339	3.447	50	172.35	1	172.35	0.019999155
dLoRNA	8	1.093017789	TG	2	441.2430792	4.265	75	319.875	1	319.875	0.037117666
dLoRNA	9	1.102813259	TG	2	405.3296453	2.768	150	415.2	1	415.2	0.048178991
dLoRNA	10	1.110649636	TG	2	395.5507685	2.966	75	222.45	1.039416554	231.2182125	0.026830107
dLoRNA	11	1.1224042	TG	2	410.5858056	2.542	75	190.65	1.177861516	224.5592981	0.026057419
dLoRNA	12	1.140036047	TG	2	539.5802788	1.696	100	169.6	1.742941382	295.6028583	0.034301174
dLoRNA	13	1.159626988	TG	2	555.3465939	2.024	150	303.6	2.016900177	612.3308936	0.071053672
dLoRNA	14	1.181177024	TG	2	372.4859182	1.524	150	228.6	1.517341284	346.8642174	0.040249441
dLoRNA	15	1.210563435	TG	2	376.8596881	2.678	150	401.7	1.762181978	707.8685004	0.082139668
dLoRNA	16	1.241908941	TG	2	553.0217604	2.727	150	409.05	2.941264667	1203.124312	0.139608179
dLoRNA	17	1.277172635	TG	2	500.5238651	2.323	150	348.45	3.023877341	1053.67006	0.122265801
dLoRNA	18	1.325549722	TG	2	542.1840892	2.723	100	272.3	3.813254297	1038.349145	0.120487992
dLoRNA	19	1.376696184	TG	2	428.7376031	1.973	100	197.3	3.46489339	683.6234658	0.079326322
dLoRNA	20	1.435406316	TG	2	367.6988315	1.7	100	170	3.41413947	580.4037099	0.067348905
dLoRNA	21	1.50230076	TG	2	143.8397838	2.134	100	213.4	1.532823052	327.1044393	0.037956556
dLoRNA	1	1.010735836	DMSO	3	1000	2.237	30	67.11	1	67.11	0.007039898
dLoRNA	2	1.026408589	DMSO	3	500	1.246	30	37.38	1	37.38	0.003921195
dLoRNA	3	1.044040436	DMSO	3	500	2.007	30	60.21	1	60.21	0.006316082
dLoRNA	4	1.057754095	DMSO	3	500	3.044	30	91.32	1	91.32	0.009579548
dLoRNA	5	1.067549565	DMSO	3	500	1.52	30	45.6	1	45.6	0.00478348
dLoRNA	6	1.07930413	DMSO	3	500	1.808	30	54.24	1	54.24	0.005689824
dLoRNA	7	1.0890996	DMSO	3	476.4558693	2.679	50	133.95	1.04153406	139.5134875	0.014635088
dLoRNA	8	1.098895071	DMSO	3	418.9698793	3.184	100	318.4	1	318.4	0.03340044
dLoRNA	9	1.108690541	DMSO	3	398.4570548	2.226	150	333.9	1.03105132	344.2680343	0.03611402
dLoRNA	10	1.120445106	DMSO	3	387.5350954	2.059	100	205.9	1.0961715	225.7017116	0.023676308
dLoRNA	11	1.132199671	DMSO	3	381.7819945	1.987	100	198.7	1.17189409	232.855356	0.024426732
dLoRNA	12	1.14591333	DMSO	3	398.4484993	1.653	100	165.3	1.33506618	220.6864403	0.023150202
dLoRNA	13	1.161586083	DMSO	3	464.3350863	2.136	150	320.4	1.70501382	546.2864285	0.057305927
