treatment	replicate	merge_fraction	fraction	per_fraction_ng	proportion_initial_fraction	used_ng	proportion_extracted_fraction	volume_ul
DMSO	1	1	1	122010	0.132920811990216	16217.6682709263	0.132920811990216	3.98762435970648
DMSO	1	1	2	85890	0.132920811990216	11416.5685418397	0.132920811990216	3.98762435970648
DMSO	1	1	3	78150	0.132920811990216	10387.7614570354	0.132920811990216	3.98762435970648
DMSO	1	1	4	197790	0.132920811990216	26290.4074035449	0.132920811990216	3.98762435970648
DMSO	1	1	5	108350	0.132920811990216	14401.9699791399	0.132920811990216	6.64604059951081
DMSO	1	1	6	90201.06	0.132920811990216	11989.5981375782	0.141804827142046	7.09024135710229
DMSO	1	1	7	473466.7349	0.132920811990216	62933.5828532644	0.168429232910969	12.6321924683227
DMSO	1	1	8	499263	0.132920811990216	66362.4433566713	0.132920811990216	7.57648628344232
DMSO	1	2	8	499263	0.216588091093149	108134.420123439	0.216588091093149	12.3455211923095
DMSO	1	2	9	516489.9848	0.216588091093149	111865.579876561	0.248369404761999	24.8369404761999
DMSO	1	3	9	516489.9848	0.145412179815447	75103.9345426153	0.166749410660695	16.6749410660695
DMSO	1	3	10	306804.3075	0.145412179815447	44613.0831303438	0.178881648458948	17.8881648458948
DMSO	1	3	11	365320.7445	0.145412179815447	53122.0857895471	0.198364771495961	19.8364771495961
DMSO	1	3	12	324325.628	0.145412179815447	47160.8965374939	0.193997929005894	19.3997929005894
DMSO	1	4	13	959549.4504	0.104552337249146	100323.137745453	0.166097910230675	33.2195820461351
DMSO	1	4	14	1144659.846	0.104552337249146	119676.862254547	0.212193018177372	42.4386036354744
DMSO	1	5	15	1436944.783	0.153102612294324	220000	0.266021765374961	53.2043530749922
DMSO	1	6	16	1379931.204	0.159428237699305	220000	0.335877862603939	67.1755725207878
DMSO	1	7	17	1059525.09	0.207640198496857	220000	0.571428571474414	114.285714294883
DMSO	1	8	18	2725501.792	0.0361643703108204	98566.0560886926	0.115932787691454	17.3899181537182
DMSO	1	8	19	1420459.33	0.0361643703108204	51370.0172215798	0.108170177354347	16.2255266031521
DMSO	1	8	20	1432264.288	0.0361643703108204	51796.9360941955	0.132151897176629	19.8227845764943
