treatment	replicate	merge_fraction	fraction	per_fraction_ng	proportion_initial_fraction	used_ng	proportion_extracted_fraction	volume_ul
DMSO	1	1	1	122010	0.190334832685048	23222.7529359027	0.190334832685048	5.71004498055144
DMSO	1	1	2	85890	0.190334832685048	16347.8587793188	0.190334832685048	5.71004498055144
DMSO	1	1	3	78150	0.190334832685048	14874.6671743365	0.190334832685048	5.71004498055144
DMSO	1	1	4	197790	0.190334832685048	37646.3265567756	0.190334832685048	5.71004498055144
DMSO	1	1	5	108350	0.190334832685048	20622.7791214249	0.190334832685048	9.5167416342524
DMSO	1	1	6	90201.06	0.190334832685048	17168.403663114	0.20305622305407	10.1528111527035
DMSO	1	1	7	473466.7349	0.190334832685048	90117.2117691275	0.241180815745693	18.088561180927
DMSO	1	2	8	499263	0.216588091093149	108134.420123439	0.216588091093149	12.3455211923095
DMSO	1	2	9	516489.9848	0.216588091093149	111865.579876561	0.248369404761999	24.8369404761999
DMSO	1	3	10	306804.3075	0.220783631759878	67737.3692494244	0.271601320137591	27.1601320137591
DMSO	1	3	11	365320.7445	0.220783631759878	80656.8407279325	0.301183124547619	30.1183124547619
DMSO	1	3	12	324325.628	0.220783631759878	71605.7900226432	0.294552817887585	29.4552817887585
DMSO	1	4	13	959549.4504	0.104552337249146	100323.137745453	0.166097910230675	33.2195820461351
DMSO	1	4	14	1144659.846	0.104552337249146	119676.862254547	0.212193018177372	42.4386036354744
DMSO	1	5	15	1436944.783	0.153102612294324	220000	0.266021765374961	53.2043530749922
DMSO	1	6	16	1379931.204	0.159428237699305	220000	0.335877862603939	67.1755725207878
DMSO	1	7	17	1059525.09	0.207640198496857	220000	0.571428571474414	114.285714294883
DMSO	1	8	18	2725501.792	0.0361643703108204	98566.0560886926	0.115932787691454	17.3899181537182
DMSO	1	8	19	1420459.33	0.0361643703108204	51370.0172215798	0.108170177354347	16.2255266031521
DMSO	1	8	20	1432264.288	0.0361643703108204	51796.9360941955	0.132151897176629	19.8227845764943
DMSO	1	8	21	505110.1523	0.0361643703108204	18266.9905955321	0.0695885356158039	10.4382803423706
DMSO	2	1	1	78870	0.408910811608294	32250.7957115461	0.408910811608294	12.2673243482488
DMSO	2	1	2	68640	0.408910811608294	28067.6381087933	0.408910811608294	12.2673243482488
DMSO	2	1	3	55950	0.408910811608294	22878.559909484	0.408910811608294	12.2673243482488
DMSO	2	1	4	71490	0.408910811608294	29233.0339218769	0.408910811608294	12.2673243482488
DMSO	2	1	5	87780	0.408910811608294	35894.191042976	0.408910811608294	12.2673243482488
DMSO	2	1	6	64722.98732	0.408910811608294	26465.9292747345	0.422710897242775	12.6813269172832
DMSO	2	1	7	110561.6451	0.408910811608294	45209.8520305891	0.417103533951501	12.513106018545
DMSO	2	2	8	453490.8953	0.25386834917512	115126.984955758	0.345311892546951	34.5311892546951
DMSO	2	2	9	413100	0.25386834917512	104873.015044242	0.25386834917512	38.0802523762679
DMSO	2	3	10	264115.2252	0.274352568508207	72460.6904157434	0.305097643826883	30.5097643826883
DMSO	2	3	11	289140.5035	0.274352568508207	79326.4397949811	0.333865487345224	33.3865487345224
DMSO	2	3	12	248632.153	0.274352568508207	68212.8697892754	0.333396235535105	33.3396235535105
DMSO	2	4	13	584368.3166	0.154107773096654	90055.6999394667	0.279762969703407	41.964445455511
DMSO	2	4	14	843204.0607	0.154107773096654	129944.300060533	0.244808402570091	48.9616805140182
DMSO	2	5	15	755473.9793	0.291207911891083	220000	0.533462657593348	106.69253151867
DMSO	2	6	16	902081.798	0.243880322702177	220000	0.516431924857439	77.4647887286159
DMSO	2	7	17	1098709.729	0.200234870223853	220000	0.498640072459029	99.7280144918058
DMSO	2	8	18	569253.3596	0.0618763411486178	35223.3150786064	0.187457770478947	18.7457770478947
DMSO	2	8	19	1262034.515	0.0618763411486178	78090.0781914704	0.225173235846937	45.0346471693875
DMSO	2	8	20	1120300.252	0.0618763411486178	69320.0805816345	0.254199048796546	38.1298573194819
DMSO	2	8	21	603890.3635	0.0618763411486178	37366.5261482888	0.118342125554011	17.7513188331017
DMSO	3	1	1	67110	0.444109354964218	29804.1788116487	0.444109354964218	13.3232806489265
DMSO	3	1	2	37380	0.444109354964218	16600.8076885625	0.444109354964218	13.3232806489265
DMSO	3	1	3	60210	0.444109354964218	26739.8242623956	0.444109354964218	13.3232806489265
DMSO	3	1	4	91320	0.444109354964218	40556.0662953324	0.444109354964218	13.3232806489265
DMSO	3	1	5	45600	0.444109354964218	20251.3865863683	0.444109354964218	13.3232806489265
DMSO	3	1	6	54240	0.444109354964218	24088.4914132592	0.444109354964218	13.3232806489265
DMSO	3	1	7	139513.4875	0.444109354964218	61959.2449424335	0.462555019559863	23.1277509779931
DMSO	3	2	8	318400	0.331991266535731	105706.019264977	0.331991266535731	33.1991266535731
