Protocol	Fraction	Density	Treatment	Replica	fraction_volume	ng_raw	Trustable	Vol_correct	Dil_factor	Dil_Correct	Rel_total
dLoRNA	1	1.008776742	DMSO	1	1000	0.251	N	15.06	1	15.06	7.99149E-05
dLoRNA	2	1.030326777	DMSO	1	500	22.276	N	1336.56	1	1336.56	0.007092372
dLoRNA	3	1.042081342	DMSO	1	500	1.912	N	114.72	1	114.72	0.000608754
dLoRNA	4	1.055795	DMSO	1	500	10.624	N	637.44	1	637.44	0.003382535
dLoRNA	5	1.065590471	DMSO	1	500	4.146	N	248.76	1	248.76	0.001320029
dLoRNA	6	1.081263224	DMSO	1	526.739228	0.714	N	42.84	1.066836901	45.70329285	0.000242522
dLoRNA	7	1.091058694	DMSO	1	569.2032325	7.994	Y	479.64	1.267139663	607.7708678	0.003225098
dLoRNA	8	1.104772353	DMSO	1	398.8372533	179.02	Y	10741.2	1	10741.2	0.056997504
dLoRNA	9	1.11260873	DMSO	1	429.8222981	45.392	Y	2723.52	1.146736201	3123.158978	0.016572847
dLoRNA	10	1.128281483	DMSO	1	411.5358711	17.856	N	1071.36	1.230169637	1317.954542	0.006993643
dLoRNA	11	1.143954236	DMSO	1	412.0690639	22.634	N	1358.04	1.364155133	1852.577236	0.009830585
dLoRNA	12	1.159626988	DMSO	1	367.3465939	9.954	Y	597.24	1.334124344	796.7924231	0.004228129
dLoRNA	13	1.171381553	DMSO	1	410.2144337	69.366	Y	4161.96	1.588658031	6611.931177	0.035085798
dLoRNA	14	1.204686153	DMSO	1	445.5157817	51.596	Y	3095.76	2.029538734	6282.964832	0.033340159
dLoRNA	15	1.222318	DMSO	1	353.3790656	70.944	Y	4256.64	1.737539036	7396.078163	0.039246825
dLoRNA	16	1.24582713	DMSO	1	390.2244727	395.196	Y	23711.76	2.106765197	49955.11072	0.26508366
dLoRNA	17	1.277172635	DMSO	1	455.5238651	448.161	Y	26889.66	2.752013221	74000.69983	0.39268007
dLoRNA	18	1.308518141	DMSO	1	479.6111192	88.83	Y	5329.8	3.20571841	17085.83798	0.090664927
dLoRNA	19	1.311708252	DMSO	1	443.161512	25.025	Y	1501.5	2.991070394	4491.092196	0.023831699
dLoRNA	20	1.352394013	DMSO	1	481.8664	5.231	Y	313.86	3.654201526	1146.907691	0.006085994
dLoRNA	21	1.38863647	DMSO	1	231.1000853	5.561	Y	333.66	1.924229152	642.0382988	0.003406936
dLoRNA	1	1.01465402	TG	1	1000	-0.459	N	0	1	0	0
dLoRNA	2	1.02836768	TG	1	500	1.085	N	65.1	1	65.1	0.000350184
