treatment	replicate	merge_fraction	fraction	per_fraction_ng	proportion_initial_fraction	used_ng	proportion_extracted_fraction	volume_ul
DMSO	1	1	1	0	0.176227432715906	0	0.176227432715906	10.5736459629543
DMSO	1	1	2	0	0.176227432715906	0	0.176227432715906	10.5736459629543
DMSO	1	1	3	0	0.176227432715906	0	0.176227432715906	10.5736459629543
DMSO	1	1	4	0	0.176227432715906	0	0.176227432715906	10.5736459629543
DMSO	1	1	5	0	0.176227432715906	0	0.176227432715906	10.5736459629543
DMSO	1	1	6	0	0.176227432715906	0	0.188005928189823	11.2803556913894
DMSO	1	1	7	607.7708678	0.176227432715906	107.105899711912	0.223304769702988	13.3982861821793
DMSO	1	1	8	10741.2	0.176227432715906	1892.89410028809	0.176227432715906	10.5736459629543
DMSO	1	2	8	10741.2	0.1442547760898	1549.46940093576	0.1442547760898	8.65528656538801
DMSO	1	2	9	3123.158978	0.1442547760898	450.530599064239	0.165422173909323	9.92533043455938
DMSO	1	3	9	3123.158978	0.510210407057284	1593.46821346999	0.585076743899533	35.104604633972
DMSO	1	3	10	0	0.510210407057284	0	0.627645351243281	37.6587210745968
DMSO	1	3	11	0	0.510210407057284	0	0.696006145697213	41.7603687418328
DMSO	1	3	12	796.7924231	0.510210407057284	406.53178653001	0.680684124617271	40.8410474770363
DMSO	1	4	13	6611.931177	0.155100126329371	1025.51136083381	0.24640106130227	14.7840636781362
DMSO	1	4	14	6282.964832	0.155100126329371	974.488639166194	0.314781714033751	18.8869028420251
DMSO	1	5	15	7396.078163	0.270413583513125	2000	0.4698541572187	28.191249433122
DMSO	1	6	16	49955.11072	0.0400359436937306	2000	0.0843463328030033	5.0607799681802
DMSO	1	7	17	74000.69983	0.0270267714304669	2000	0.07437803229759	4.4626819378554
DMSO	1	8	18	17085.83798	0.0855949071119082	1462.46071482721	0.274393169530884	16.463590171853
DMSO	1	8	19	4491.092196	0.0855949071119082	384.414619347636	0.256020392539609	15.3612235523765
DMSO	1	8	20	1146.907691	0.0855949071119082	98.1694572770781	0.312781040186163	18.7668624111698
DMSO	1	8	21	642.0382988	0.0855949071119082	54.9552085480735	0.164704215527466	9.88225293164795
DMSO	2	1	1	0	0.173648810840745	0	0.173648810840745	10.4189286504447
DMSO	2	1	2	0	0.173648810840745	0	0.173648810840745	10.4189286504447
DMSO	2	1	3	0	0.173648810840745	0	0.173648810840745	10.4189286504447
DMSO	2	1	4	0	0.173648810840745	0	0.173648810840745	10.4189286504447
DMSO	2	1	5	0	0.173648810840745	0	0.173648810840745	10.4189286504447
DMSO	2	1	6	0	0.173648810840745	0	0.179509180368522	10.7705508221113
DMSO	2	1	7	0	0.173648810840745	0	0.177127947249124	10.6276768349474
DMSO	2	1	8	11517.49897	0.173648810840745	2000	0.236197224682713	14.1718334809628
DMSO	2	2	8	11517.49897	0.0725316772916248	835.383518498661	0.0986576343075315	5.91945805845189
DMSO	2	2	9	16056.66	0.0725316772916248	1164.61648150134	0.0725316772916248	4.35190063749749
DMSO	2	3	9	16056.66	0.12126037329934	1947.03658554058	0.12126037329934	7.27562239796042
DMSO	2	3	10	436.7742983	0.12126037329934	52.9634144594154	0.134849308626357	8.09095851758143
DMSO	2	3	11	0	0.12126037329934	0	0.147564332447783	8.85385994686695
DMSO	2	3	12	0	0.12126037329934	0	0.147356929069072	8.84141574414435
DMSO	2	4	13	0	0.263750391633231	0	0.478805133193836	28.7283079916302
DMSO	2	4	14	7582.927129	0.263750391633231	2000	0.418981539707738	25.1388923824643
DMSO	2	5	15	4564.059386	0.438206392785968	2000	0.802748611299511	48.1649166779707
DMSO	2	6	16	59129.17489	0.0338242501053104	2000	0.0716249773462719	4.29749864077631
DMSO	2	7	17	100370.4209	0.0199261892305166	2000	0.0496217088992998	2.97730253395799
DMSO	2	8	18	45597.83031	0.0322262542046281	1469.44727074956	0.0976312052708102	5.85787231624861
DMSO	2	8	19	13444.5978	0.0322262542046281	433.269026381784	0.11727406313591	7.03644378815457
DMSO	2	8	20	3018.771659	0.0322262542046281	97.2837028686609	0.132391201758625	7.94347210551749
DMSO	2	8	21	0	0.0322262542046281	0	0.0616345981424399	3.6980758885464
DMSO	3	1	1	0	0.112349562755098	0	0.112349562755098	6.7409737653059
DMSO	3	1	2	0	0.112349562755098	0	0.112349562755098	6.7409737653059
DMSO	3	1	3	0	0.112349562755098	0	0.112349562755098	6.7409737653059
DMSO	3	1	4	0	0.112349562755098	0	0.112349562755098	6.7409737653059
DMSO	3	1	5	0	0.112349562755098	0	0.112349562755098	6.7409737653059
DMSO	3	1	6	0	0.112349562755098	0	0.112349562755098	6.7409737653059
DMSO	3	1	7	2553.362409	0.112349562755098	286.869150206455	0.117015896235542	7.02095377413254
DMSO	3	1	8	15248.22	0.112349562755098	1713.13084979355	0.112349562755098	6.7409737653059
DMSO	3	2	8	15248.22	0.0726687037867443	1108.06838245511	0.0726687037867443	4.36012222720466
DMSO	3	2	9	12273.94423	0.0726687037867443	891.93161754489	0.0749251629620117	4.4955097777207
DMSO	3	3	9	12273.94423	0.121762408299661	1494.50500878053	0.125543291803745	7.53259750822467
DMSO	3	3	10	4151.486475	0.121762408299661	505.494991219471	0.133472481749452	8.00834890496712
DMSO	3	3	11	0	0.121762408299661	0	0.14269264667054	8.56155880023239
DMSO	3	3	12	0	0.121762408299661	0	0.162560873316229	9.75365239897373
DMSO	3	4	13	3343.088797	0.194131589973882	648.999143585482	0.330997043804042	19.8598226282425
DMSO	3	4	14	6959.201522	0.194131589973882	1351.00085641452	0.2793147708809	16.758886252854
DMSO	3	5	15	3288.816712	0.608121453744303	2000	0.973321264246848	58.3992758548109
DMSO	3	6	16	11356.34401	0.176113016498872	2000	0.306660042786076	18.3996025671646
DMSO	3	7	17	120689.1475	0.0165714982782524	2000	0.0394374173535363	2.36624504121218
DMSO	3	8	18	62898.59402	0.0248240393898529	1561.39717551885	0.078187452708112	4.69124716248672
DMSO	3	8	19	13267.16187	0.0248240393898529	329.344548852435	0.0892358534139391	5.35415120483635
DMSO	3	8	20	2420.031035	0.0248240393898529	60.0749457375065	0.0680566269420983	4.0833976165259
DMSO	3	8	21	1981.278273	0.0248240393898529	49.1833298912118	0.115845416201553	6.95072497209321
DMSO	4	1	1	0	0.143835015483839	0	0.143835015483839	8.63010092903037
DMSO	4	1	2	0	0.143835015483839	0	0.143835015483839	8.63010092903037
DMSO	4	1	3	0	0.143835015483839	0	0.143835015483839	8.63010092903037
DMSO	4	1	4	0	0.143835015483839	0	0.143835015483839	8.63010092903037
DMSO	4	1	5	0	0.143835015483839	0	0.143835015483839	8.63010092903037
DMSO	4	1	6	0	0.143835015483839	0	0.143835015483839	8.63010092903037
DMSO	4	1	7	0	0.143835015483839	0	0.143835015483839	8.63010092903037
DMSO	4	1	8	388.14	0.143835015483839	55.8281229098974	0.143835015483839	8.63010092903037
DMSO	4	1	9	13516.68	0.143835015483839	1944.1718770901	0.143835015483839	8.63010092903037
DMSO	4	2	9	13516.68	0.0642195769470635	868.035471328835	0.0642195769470635	3.85317461682381
DMSO	4	2	10	17626.47128	0.0642195769470635	1131.96452867117	0.0683315784220793	4.09989470532476
DMSO	4	3	10	17626.47128	0.0898134729154166	1583.09460090065	0.0955642603023985	5.73385561814391
DMSO	4	3	11	2937.095308	0.0898134729154166	263.790729895055	0.110737800717379	6.64426804304271
DMSO	4	3	12	0	0.0898134729154166	0	0.139452261667097	8.36713570002582
DMSO	4	3	13	1704.807355	0.0898134729154166	153.114669204296	0.137762424587105	8.26574547522632
DMSO	4	4	14	7915.944975	0.252654611207678	2000	0.343607188350877	20.6164313010526
DMSO	4	5	15	6945.914281	0.287939055837594	2000	0.472558526237303	28.3535115742382
DMSO	4	6	16	11844.98017	0.168847897699773	2000	0.297062056288778	17.8237233773267
DMSO	4	7	17	68279.33871	0.0292914377582729	2000	0.0634036606650082	3.80421963990049
DMSO	4	8	18	45108.29682	0.0315606282925847	1423.6461888476	0.0833840666764214	5.00304400058528
DMSO	4	8	19	14966.09341	0.0315606282925847	472.339311105112	0.100346991808119	6.02081950848711
