# Jan, Williams, Weissman. Science, 2014.
# Table S6 Comprehensive 293/human annotation table
# See Materials and Methods for additional information on annotation derivation
#
# UCSC.gene.id: the ucsc gene id <string>
# uniprot.protein.id: the uniprot protein id <string>
# AA.length: the length of the gene in amino acids <integer>
# secretome: whether the gene is a member of the secretome <"yes" or "no">
# phobius: whether this gene was predicted to contain a TMD or signal peptide by Phobius <"yes" or "no">
# first.feature.start: the position, in amino acids, where the first Phobius-predicted hydrophobic feature begins <integer> or NA
# TMHMM: whether this gene was predicted to contain a TMD by TMHMM <"yes" or "no">
# SignalP: whether this gene was predicted to contain a signal peptide by SignalP <"yes" or "no">
# signalSequence: whether this gene has an ER signal anchor sequence, based on containing a TMD within the first 60 amino acids <"yes" or "no">
# signalAnchor:whether this gene has an ER signal sequence, based on a SignalP prediction or Phobius-predicted hydrophobic domain in the first 60 amino acids <"yes or "no">
# mitoCarta: whether this gene is annotated in MitoCarta <"yes" or "no">
# mito.GO: whether this gene is annotated with the term GO:005739 <"yes" or "no">
# pexDB: whether this gene is annotated as peroxisomal <"yes" or "no">
# input.count: refers to the number of raw sequencing counts mapped to the gene in the input library (for statistical reliability, see Ingolia 2009) <int>
# input.rpkm: is the input reads per kilobase per million, which corrects counts for total library sequencing reads and gene length <float>
# pulldown.count: refers to the number of raw sequencing counts mapped to the gene in the pulldown library <int>
# pulldown.rpkm: is the pulldown reads per kilobase per million, which corrects counts for total library sequencing reads and gene length <float>
# log2.enrichment: represents log2(pulldown.rpkm / total.rpkm) <float> or "NA"
#
#UCSC.gene.id	uniprot.protein.id	AA.length	secretome	phobius	first.feature.start	TMHMM	SignalP	signalSequence	signalAnchor	mitoCarta	mito.GO	pexDB	input.count	input.rpkm	pulldown.count	pulldown.rpkm	log2.enrichment
uc001aal.1	Q8NH21	305	yes	yes	20	yes	no	no	yes	no	no	no	0	0.0	0	0.0	NA
uc009vjk.2	C9J4L2	389	no	no	NA	no	no	no	no	no	no	no	0	0.0	0	0.0	NA
uc021oei.1		155	no	no	NA	no	no	no	no	no	no	no	0	0.0	0	0.0	NA
uc010nxu.2	Q6IEY1	312	yes	yes	23	yes	no	no	yes	no	no	no	0	0.0	0	0.0	NA
uc010nxv.2	Q6IEY1	312	yes	yes	23	yes	no	no	yes	no	no	no	0	0.0	0	0.0	NA
uc009vjm.3	B4DGA0	207	no	no	NA	no	no	no	no	no	no	no	0	0.0	0	0.0	NA
uc010nxx.2	A2ACH2	163	no	no	NA	no	no	no	no	no	no	no	1	0.570388933298	0	0.0	NA
uc001abw.1	NP_689699	681	no	no	NA	no	no	no	no	no	no	no	23	3.14007064748	22	4.65664707261	NA
uc001abz.4	NP_056473	749	yes	yes	269	no	no	no	no	no	no	no	774	96.0766469996	369	71.0137265584	-0.436087886485
uc001aca.2	Q6TDP4	642	no	no	NA	no	no	no	no	no	no	no	24	3.47564097673	14	3.14333568326	NA
uc001acd.3	Q494U1-2	611	no	no	NA	no	no	no	no	no	no	no	0	0.0	0	0.0	NA
uc001ach.2	Q5SV97	676	no	no	NA	no	no	no	no	no	no	no	0	0.0	0	0.0	NA
uc001aci.2	Q9HCC6	221	no	no	NA	no	no	no	no	no	no	no	399	167.85694595	276	180.017432575	0.100904384152
uc001acj.4	P05161	165	no	no	NA	no	no	no	no	no	no	no	5	2.81737564023	6	5.24161430818	NA
uc001ack.2	O00468	2045	yes	yes	13	no	yes	yes	no	no	no	no	123	5.59204289667	696	49.0584341607	3.13305385411
