"UNIPROT_ID"	"markers"	"bandle.allocation_DMSO"	"bandle.loc.probability_DMSO"	"bandle.loc.outlier_DMSO"	"confident.localisation_DMSO"	"bandle.allocation_Tg"	"bandle.loc.probability_Tg"	"bandle.loc.outlier_Tg"	"confident.localisation_Tg"	"bandle.diff.loc.prob"	"bandle.diff.loc.prob_lower_quartile"	"GENES"	"ENTRY-NAME"	"PROTEIN-NAMES"	"FUNCTION"
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"A5PLL7"	"unknown"	"PM"	0.999716588265289	0	"PM"	"ER"	0.99999992893055	0	"ER"	0.997908608850372	0.997130031271883	"PEDS1 KUA PDES TMEM189"	"PDES1_HUMAN"	"Plasmanylethanolamine desaturase (EC 1.14.19.77) (Plasmanylethanolamine desaturase 1) (Transmembrane protein 189)"	"FUNCTION: Plasmanylethanolamine desaturase involved in plasmalogen biogenesis in the endoplasmic reticulum membrane (PubMed:31604315, PubMed:32209662). Plasmalogens are glycerophospholipids with a hydrocarbon chain linked by a vinyl ether bond at the glycerol sn-1 position, and are involved in antioxidative and signaling mechanisms (PubMed:31604315). {ECO:0000269|PubMed:31604315, ECO:0000269|PubMed:32209662, ECO:0000303|PubMed:31604315}."
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"B3KU38"	"unknown"	"CYTOSOL"	0.997449401735141	1	"Undefined"	"NUCLEOPLASM-2"	0.999991824516103	0	"NUCLEOPLASM-2"	0.997870098956599	0.997184983193093	"IQCJ-SCHIP1"	"IQIP1_HUMAN"	"IQCJ-SCHIP1 readthrough transcript protein"	"FUNCTION: May play a role in action potential conduction in myelinated cells through the organization of molecular complexes at nodes of Ranvier and axon initial segments (PubMed:25950943). May also play a role in axon outgrowth and guidance (By similarity). {ECO:0000250|UniProtKB:A0A088MLT8, ECO:0000269|PubMed:25950943}."
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"O00192"	"unknown"	"ER"	0.99999921698588	0	"ER"	"MITOCHONDRIA"	0.995333367902813	0	"MITOCHONDRIA"	0.9980553567866	0.997422478936687	"ARVCF"	"ARVC_HUMAN"	"Armadillo repeat protein deleted in velo-cardio-facial syndrome"	"FUNCTION: Involved in protein-protein interactions at adherens junctions."
"O00203"	"unknown"	"GOLGI"	1	1	"Undefined"	"NUCLEOPLASM-2"	1	1	"Undefined"	0.997966546922399	0.997415633969374	"AP3B1 ADTB3A"	"AP3B1_HUMAN"	"AP-3 complex subunit beta-1 (Adaptor protein complex AP-3 subunit beta-1) (Adaptor-related protein complex 3 subunit beta-1) (Beta-3A-adaptin) (Clathrin assembly protein complex 3 beta-1 large chain)"	"FUNCTION: Subunit of non-clathrin- and clathrin-associated adaptor protein complex 3 (AP-3) that plays a role in protein sorting in the late-Golgi/trans-Golgi network (TGN) and/or endosomes. The AP complexes mediate both the recruitment of clathrin to membranes and the recognition of sorting signals within the cytosolic tails of transmembrane cargo molecules. AP-3 appears to be involved in the sorting of a subset of transmembrane proteins targeted to lysosomes and lysosome-related organelles. In concert with the BLOC-1 complex, AP-3 is required to target cargos into vesicles assembled at cell bodies for delivery into neurites and nerve terminals. {ECO:0000305|PubMed:9151686}."
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
